id,latitude,longitude,scientific_name,common_name,taxon_class_name,taxon_genus_name
67429211,38.5612526578,-121.7122778669,Omphalotus olivascens,western jack-o'-lantern,Agaricomycetes,Omphalotus
67543636,38.543053,-121.708234,Cathartes aura,Turkey Vulture,Aves,Cathartes
67586636,38.565284202,-121.7635641462,Zoropsis spinimana,Mediterranean Spiny False Wolf Spider,Arachnida,Zoropsis
67587496,38.5537601276,-121.7355501399,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67587779,38.5534496458,-121.7357968925,Spinus tristis,American Goldfinch,Aves,Spinus
67592647,38.5702277816,-121.7255080627,Aeronautes saxatalis,White-throated Swift,Aves,Aeronautes
67594822,38.54720702,-121.78080282,Corvus brachyrhynchos,American Crow,Aves,Corvus
67594843,38.54675025,-121.78148025,Corvus brachyrhynchos,American Crow,Aves,Corvus
67594850,38.54717502,-121.77951507,Heteromeles arbutifolia,Toyon,Magnoliopsida,Heteromeles
67594856,38.5521823,-121.7823801,Ligustrum lucidum,glossy privet,Magnoliopsida,Ligustrum
67625104,38.565423,-121.746278,Dryobates nuttallii,Nuttall's Woodpecker,Aves,Dryobates
67634926,38.5701724189,-121.725480168,Melospiza lincolnii,Lincoln's Sparrow,Aves,Melospiza
67652538,38.57027476,-121.7253698593,Buteo jamaicensis,Red-tailed Hawk,Aves,Buteo
67652539,38.57027476,-121.7253698593,Calypte anna,Anna's Hummingbird,Aves,Calypte
67652540,38.57027476,-121.7253698593,Aeronautes saxatalis,White-throated Swift,Aves,Aeronautes
67652541,38.57027476,-121.7253698593,Anser albifrons,Greater White-fronted Goose,Aves,Anser
67652542,38.57027476,-121.7253698593,Buteo jamaicensis,Red-tailed Hawk,Aves,Buteo
67652544,38.57027476,-121.7253698593,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67652545,38.57027476,-121.7253698593,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67652546,38.57027476,-121.7253698593,Aeronautes saxatalis,White-throated Swift,Aves,Aeronautes
67652547,38.57027476,-121.7253698593,Calypte anna,Anna's Hummingbird,Aves,Calypte
67652548,38.57027476,-121.7253698593,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67652549,38.57027476,-121.7253698593,Buteo jamaicensis,Red-tailed Hawk,Aves,Buteo
67652550,38.57027476,-121.7253698593,Buteo jamaicensis,Red-tailed Hawk,Aves,Buteo
67652551,38.57027476,-121.7253698593,Buteo jamaicensis,Red-tailed Hawk,Aves,Buteo
67652552,38.57027476,-121.7253698593,Buteo jamaicensis,Red-tailed Hawk,Aves,Buteo
